zone,ts,hour,dow,temp,solar_irr,wind,price_inr_per_mwh,demand_mw,gen_mw,wind_cap,solar_cap
Z1,2025-08-01 00:00:00,0,0,25.20168420853012,0.07902703432841868,0.6532490945520758,4356.888821704699,386.7993780911676,450.14700645044525,819.5981825434216,579.597545259111
Z1,2025-08-01 01:00:00,1,0,23.648794564576228,0.0,0.5720362854771545,4540.240913565594,401.4746120151411,351.37266801956366,819.5981825434216,579.597545259111
Z1,2025-08-01 02:00:00,2,0,24.815904952645962,0.0,0.684744430964898,4262.621734371851,401.0083428635786,462.98673173549275,819.5981825434216,579.597545259111
Z1,2025-08-01 03:00:00,3,0,22.151152093729362,0.0,0.5923726949319791,4465.66016018133,380.22693030594843,342.795565360273,819.5981825434216,579.597545259111
Z1,2025-08-01 04:00:00,4,0,19.05314773397829,0.0,0.6339779518501646,4645.212619078711,371.8126217568003,381.5794891992967,819.5981825434216,579.597545259111
Z1,2025-08-01 05:00:00,5,0,19.617687642672315,0.023317918722316727,0.7011771875517011,4394.660796293888,356.05880573555004,471.64167519726453,819.5981825434216,579.597545259111
Z1,2025-08-01 06:00:00,6,0,17.509318503046895,0.049366725829455095,0.705340326031852,4348.378262938406,330.9041073322469,469.0904959074857,819.5981825434216,579.597545259111
Z1,2025-08-01 07:00:00,7,0,17.301405369644616,0.19371535385276747,0.7751194079931962,4737.959755280552,316.02749191248364,638.6780538832713,819.5981825434216,579.597545259111
Z1,2025-08-01 08:00:00,8,0,18.56738844961464,0.41928290548531977,0.6334587571664576,5010.935249246305,281.30348813457863,631.3594551694682,819.5981825434216,579.597545259111
Z1,2025-08-01 09:00:00,9,0,15.93392721030667,0.6673418549988842,0.7315473012944665,4630.679508331968,271.0631716075573,865.1598569830145,819.5981825434216,579.597545259111
Z1,2025-08-01 10:00:00,10,0,17.169982564111166,0.7997092140031482,0.731538688965074,5273.648786971115,245.6320472818622,928.2672296086525,819.5981825434216,579.597545259111
Z1,2025-08-01 11:00:00,11,0,20.15656870613854,1.0,0.8029872981939282,5412.838370594848,191.3834123606909,1132.2318691991504,819.5981825434216,579.597545259111
Z1,2025-08-01 12:00:00,12,0,20.92783904888324,0.919616948644097,0.6614375500642424,5570.982142166593,114.57963190622965,954.926213012568,819.5981825434216,579.597545259111
Z1,2025-08-01 13:00:00,13,0,24.471370998892912,0.9684886321771324,0.7905402211993052,5737.430022049529,181.16467690739523,1090.6620244950177,819.5981825434216,579.597545259111
Z1,2025-08-01 14:00:00,14,0,24.19087815733331,0.9426466700461316,0.7636537232537536,6023.415486824144,150.36690413037252,1072.680027923088,819.5981825434216,579.597545259111
Z1,2025-08-01 15:00:00,15,0,24.88154444799706,0.6600939476144472,0.714542796912182,5571.354126375324,150.83603515748365,827.3691577675568,819.5981825434216,579.597545259111
Z1,2025-08-01 16:00:00,16,0,30.441113840501615,0.4257733298979872,0.7638830002485214,5690.910333434658,171.86075088325074,741.902556418053,819.5981825434216,579.597545259111
Z1,2025-08-01 17:00:00,17,0,28.857487971976827,0.17964063389437246,0.74490137508601,5577.8212821669795,188.70957447876592,604.5616219648163,819.5981825434216,579.597545259111
Z1,2025-08-01 18:00:00,18,0,29.896847264766297,0.0,0.8029096211153123,5620.455011401002,229.3551785555661,536.8809926985234,819.5981825434216,579.597545259111
Z1,2025-08-01 19:00:00,19,0,27.862877720679815,0.06864242373382651,0.8734863455463695,5855.814285103973,223.66885363333859,642.949012735212,819.5981825434216,579.597545259111
Z1,2025-08-01 20:00:00,20,0,28.978980870946636,0.0,0.8179128182137163,5185.048924545142,261.72960110516647,556.0354670837338,819.5981825434216,579.597545259111
Z1,2025-08-01 21:00:00,21,0,29.36253630727143,0.07667168506481628,0.8384765180212811,5169.331622474109,313.438283948445,646.0835167676596,819.5981825434216,579.597545259111
Z1,2025-08-01 22:00:00,22,0,26.51615032098583,0.0,0.8236651309718898,5495.351748849861,344.03687514261065,594.4951281319346,819.5981825434216,579.597545259111
